        T              Rev             ST             Date            Time              X               Y               Z              Vx              Vy              Vz              Xg              Yg              Zg               A               E               W               i             Node            Long             Lat      
 1.400000E+0001               0  1.034337E+0000        19/03/24        12:14:00  4.589298E+0003 -8.175374E+0002  5.433678E+0003 -5.727486E+0000 -7.113257E-0001  4.722918E+0000  4.565831E+0003 -8.756159E+0002  5.444388E+0003  7.151514E+0003  1.324526E-0003  1.949523E+0002  9.855994E+0001  4.289889E-0003 -1.085613E+0001  4.950555E+0001 
 1.500000E+0001               0  1.285021E+0000        19/03/24        12:15:00  4.236924E+0003 -8.585953E+0002  5.706247E+0003 -6.014474E+0000 -6.568265E-0001  4.359761E+0000  4.208297E+0003 -9.306339E+0002  5.716129E+0003  7.150419E+0003  1.414518E-0003  2.008312E+0002  9.856061E+0001  5.148598E-0003 -1.246985E+0001  5.298365E+0001 
 1.600000E+0001               0  1.535706E+0000        19/03/24        12:16:00  3.868032E+0003 -8.963057E+0002  5.956510E+0003 -6.277948E+0000 -5.997793E-0001  3.979649E+0000  3.833983E+0003 -9.788393E+0002  5.965525E+0003  7.149367E+0003  1.497385E-0003  2.065670E+0002  9.856124E+0001  6.088817E-0003 -1.432202E+0001  5.644348E+0001 
 1.700000E+0001               0  1.786390E+0000        19/03/24        12:17:00  3.484061E+0003 -9.305223E+0002  6.183495E+0003 -6.516897E+0000 -5.404066E-0001  3.584067E+0000  3.444408E+0003 -1.019906E+0003  6.191608E+0003  7.148374E+0003  1.571664E-0003  2.121751E+0002  9.856185E+0001  7.106628E-0003 -1.649427E+0001  5.987863E+0001 
 1.800000E+0001               0  2.037075E+0000        19/03/24        12:18:00  3.086513E+0003 -9.611126E+0002  6.386320E+0003 -6.730405E+0000 -4.789394E-0001  3.174560E+0000  3.041148E+0003 -1.053548E+0003  6.393499E+0003  7.147455E+0003  1.635967E-0003  2.176699E+0002  9.856240E+0001  8.196901E-0003 -1.910767E+0001  6.327944E+0001 
 1.900000E+0001               0  2.287759E+0000        19/03/24        12:19:00  2.676938E+0003 -9.879579E+0002  6.564196E+0003 -6.917655E+0000 -4.156165E-0001  2.752721E+0000  2.625836E+0003 -1.079524E+0003  6.570414E+0003  7.146626E+0003  1.689015E-0003  2.230645E+0002  9.856291E+0001  9.353371E-0003 -2.234836E+0001  6.663078E+0001 
 2.000000E+0001               0  2.538444E+0000        19/03/24        12:20:00  2.256934E+0003 -1.010954E+0003  6.716433E+0003 -7.077930E+0000 -3.506833E-0001  2.320190E+0000  2.200152E+0003 -1.097635E+0003  6.721665E+0003  7.145898E+0003  1.729661E-0003  2.283715E+0002  9.856335E+0001  1.056873E-0002 -2.651418E+0001  6.990772E+0001 
 2.100000E+0001               0  2.789128E+0000        19/03/24        12:21:00  1.828138E+0003 -1.030013E+0003  6.842438E+0003 -7.210618E+0000 -2.843910E-0001  1.878644E+0000  1.765815E+0003 -1.107729E+0003  6.846664E+0003  7.145284E+0003  1.756920E-0003  2.336026E+0002  9.856372E+0001  1.183476E-0002 -3.210082E+0001  7.306683E+0001 
 2.200000E+0001               0  3.039812E+0000        19/03/24        12:22:00  1.392221E+0003 -1.045059E+0003  6.941724E+0003 -7.315212E+0000 -2.169957E-0001  1.429794E+0000  1.324582E+0003 -1.109698E+0003  6.944927E+0003  7.144793E+0003  1.769987E-0003  2.387689E+0002  9.856402E+0001  1.314243E-0002 -3.995534E+0001  7.602778E+0001 
 2.300000E+0001               0  3.290497E+0000        19/03/24        12:23:00  9.508824E+0002 -1.056035E+0003  7.013902E+0003 -7.391312E+0000 -1.487577E-0001  9.753781E-0001  8.782335E+0002 -1.103483E+0003  7.016071E+0003  7.144432E+0003  1.768253E-0003  2.438813E+0002  9.856424E+0001  1.448206E-0002 -5.148463E+0001  7.863437E+0001 
